date,id,content,username,likeCount,retweetCount
2022-12-05 22:17:35+00:00,1599890758274023425,"#Mastodon und #hivesocial 

MEGA-REINFÄLLE! 😂",DoggThor,0,0
2022-12-05 22:10:50+00:00,1599889059706335232,Das (öffentlich einsehbare) Profil eines Betreibers eines #Mastodon-Servers. Wieviel Neutralität kann man da erwarten? https://t.co/6D7k4bPEPL,Skefabu_2033,1,0
2022-12-05 22:10:34+00:00,1599888989099393025,"#Mastodon scheint sich immer mehr zu einem betreuten, inzestuösen Seniorenheim zu entwickeln.",Ohmann77,0,0
2022-12-05 22:09:10+00:00,1599888639617798144,"I'm happy to have found a home on #Mastodon at Sigmoid Social hosted by @gradientpub:

@gregoryfoster@sigmoid.social",gregoryfoster,0,0
2022-12-05 22:05:09+00:00,1599887625644449792,Na enkele dagen op #Mastodon volg ik inmiddels 81 accounts en wordt ik door 21 accounts gevolgd. Ik ben op weg. De kop is eraf. 12 Jaar na mijn start op Twitter gaat mijn reis hier verder.,maxmiltenburg,1,0
2022-12-05 22:04:49+00:00,1599887542773755905,"I don't really used Twitter anymore, and you can find me more active on Mastodon, https://t.co/fdxv1LIAWg

#mastodon #hachyderm #fediverse",junocake,0,0
2022-12-05 22:01:48+00:00,1599886782434156545,"What Is #HiveSocial, the Latest #TwitterAlternative Gaining Steam? Yes, another Twitter alternative. Is this one worth the hype? Learn all about Hive Social, if it’s safe to use and how it compares to #Mastodon and Twitter. 

https://t.co/Cx5sRWqwEE @CMSWire https://t.co/3vWdqbaJVc",FuturaJoaquin,1,0
2022-12-05 22:01:34+00:00,1599886727690199060,"TT Twitter #Italia 23:01:
1 #Sanremo2023
2 #gfvip
3 #BrasileCoreadelSud
4 Antonino
5 #5dicembre
6 #BRAKOR
7 Sonia
8 Bankitalia
9 Brazil
10 #Mastodon
11 Alfonso
12 Ginevra
13 Paola
14 Amadeus
15 Banca
16 Renzi
17 Grassani
18 Neymar
19 Edoardo
20 Richarlison",TendenzeItalia,0,0
2022-12-05 21:58:00+00:00,1599885827689320449,"Pagate un po’ come cazzo ve pare. E smettetela di postarlo qui. 
Su #Mastodon questo argomento interessa molto. Me l’ha detto mio cuggino. 
#POS #Contanti e #Sticazzi.",RodolfoBrutti,1,0
2022-12-05 21:56:29+00:00,1599885446909001728,#Mastodon still grows and passed 8.000.000 users recently https://t.co/QGbCNZe5Sn https://t.co/jRFGz0Sal6,grobmeier,0,0
2022-12-05 21:51:30+00:00,1599884191151583232,"Latest fav thread on #mastodon: https://t.co/tS2gSLVTRI

so much awesomeness from around the world - love learning about other cultures!!! https://t.co/MykS8OwzrJ",bc3tech,0,0
2022-12-05 21:50:50+00:00,1599884022691561473,"It's #MammothMonday, so let's take a closer look at some #mammoth and #mastodon molars from the Yukon. Can you tell which is which? 🦣 https://t.co/eXMJvQHxoM",yukonberingia,2,0
2022-12-05 21:42:53+00:00,1599882025376571393,"Search in #Mastodon is still clunky. I do not think search across servers (I like calling it communities) work. Making it really hard to find people to follow. 

So my fellow twitter folks, if you are on Mastodon, please drop your link below and I will follow you.",ajitjohnson_n,5,2
2022-12-05 21:42:34+00:00,1599881944824586241,"Werde hier jetzt etwas aktiv sein. Werde meine Sozial-Media-Tätigkeit allerdings mit aufs #Fediverse richten.

(Wer jetzt meckert: Fediverse ist nicht nur #Mastodon, sondern auch so vieles mehr, z.B. auch für Youtube oder Instagram.)",gelbphoenix,0,0
2022-12-05 21:36:47+00:00,1599880486779686913,From #Mastodon https://t.co/ZsswUj9aRe,indyscotnews,3,1
2022-12-05 21:30:23+00:00,1599878878285160463,"Movetodon va aider à trouver et suivre ses amis Twitter sur le réseau des mammouths. https://t.co/wx56fQvsuf

#Mastodon #Veille #RéseauxSociaux https://t.co/0lG3nOJDEP",OutilsVeille,2,1
2022-12-05 21:24:00+00:00,1599877271694692353,"Das blaue Vögelchen soll bald gerupft werden, der Bienenstock (#Hive) will die Königin nich öffentlich zeigen &amp; nu wollen alle auf dieses #Mastodon o.O .. aufspringen.. Aber ob das so viel besser is?👀

@Nastja_the_Mox hat es sich mal für euch angeschaut. #Moxolog Coming soon! 😎 https://t.co/24g3Me2e0B https://t.co/C2uzEZF4ua",Artist2be42,3,1
2022-12-05 21:18:23+00:00,1599875859455746048,Has anyone created an @LearningImpact #LTI integration for #Mastodon yet? #edtech #elearning,iambillweber,0,0
2022-12-05 21:13:18+00:00,1599874579463143424,"Il est à combien le taux de conversion de followers #Twitter vs #Mastodon ? 🤔 Moi là, je suis à genre 6% et ça me paraît pas mal en fait...",JnSaintrapt,0,0
2022-12-05 21:13:13+00:00,1599874557502160896,"Proprietary social networking sites run by corporations come and go. #OpenStandards like #HTML and #ActivityPub are here to stay. #Mastodon is #Federated, #OpenSource software developed by a #NonProfit. Join me in the #Fediverse: https://t.co/cbhMq8wur6

https://t.co/zfRyISn0Co",noellopezmusic,0,0
2022-12-05 21:10:03+00:00,1599873761368498176,"TT Twitter #Italia 22:10:
1 #BrasileCoreadelSud
2 #Mastodon
3 #Sanremo2023
4 #5dicembre
5 #upas
6 #BRAKOR
7 Brazil
8 Bankitalia
9 Neymar
10 Paola
11 Ginevra
12 Amadeus
13 Renzi
14 Banca
15 Richarlison
16 Grassani
17 Articolo 31
18 Biagio
19 Benji
20 Anna Oxa",TendenzeItalia,0,0
2022-12-05 21:07:23+00:00,1599873090334257152,Questa è esilarante. Caro @Avvenire_Nei dovreste aggiornare il vostro pezzo #mastodon tenendo conto che https://t.co/7YEfSdaWXU,Incruscato,0,0
2022-12-05 21:00:02+00:00,1599871239689945088,@CBGSpender Wir sehen uns auf #Mastodon 😉,systemtante,1,0
2022-12-05 20:58:26+00:00,1599870836852203522,"Checked out #Mastodon , seems like you got to join a decentralized server that connects you to the network. These servers correlate to communities of interest it appears. They have a #furry server but not a #crypto or #Bitcoin one…Is furry more mainstream than #BTC?",cjohan247,0,0
